source,model,attack,defense,success_rate_pct,delta_f1_pct,delta_auc_pct,pr_auc_base,pr_auc_adv,f1_base,f1_adv
sms,LinearSVC,char_substitution,none,0.0,0.5082953806115812,0.19895548371051636,0.9753698503342226,0.9756029722787327,0.9177489177489178,0.9224137931034483
sms,LinearSVC,char_substitution,NFKD+collapse,0.0,-0.43103448275861633,-0.1406409453815657,0.9753698503342226,0.9705891998335381,0.9177489177489178,0.9137931034482759
sms,LinearSVC,whitespace_injection,none,0.9433962264150944,-0.5127153404429928,-0.08146884031249302,0.9753698503342226,0.9712704006518407,0.9177489177489178,0.9130434782608695
sms,LinearSVC,whitespace_injection,NFKD+collapse,0.0,-0.43103448275861633,-0.03687536982565238,0.9753698503342226,0.9731615669567683,0.9177489177489178,0.9137931034482759
sms,LinearSVC,synonym_replacement,none,0.0,0.5082953806115812,0.003430266960533108,0.9753698503342226,0.9755866967318708,0.9177489177489178,0.9224137931034483
sms,LinearSVC,synonym_replacement,NFKD+collapse,0.0,0.07692930601668238,-0.024869435463820155,0.9753698503342226,0.9738276647348598,0.9177489177489178,0.9184549356223176
sms,LinearSVC,textfooler_lite,none,0.0,0.0,0.0,0.9753698503342226,0.9753698503342226,0.9177489177489178,0.9177489177489178
sms,LinearSVC,textfooler_lite,NFKD+collapse,0.0,-0.43103448275861633,-0.028299702424342044,0.9753698503342226,0.9736121619239956,0.9177489177489178,0.9137931034482759
enron,LinearSVC,char_substitution,none,19.432035737077218,-10.82549473793321,-0.1549127376791787,0.9981143608914318,0.9964034108892983,0.9933438985736925,0.8858095071040168
enron,LinearSVC,char_substitution,NFKD+collapse,0.0,0.07930214115781443,-0.07327834555335382,0.9981143608914318,0.9972673416809792,0.9933438985736925,0.994131641554322
enron,LinearSVC,whitespace_injection,none,0.0,0.0,0.0029961144869927385,0.9981143608914318,0.9981344259026181,0.9933438985736925,0.9933438985736925
enron,LinearSVC,whitespace_injection,NFKD+collapse,0.0,0.07930214115781443,0.020700427364603313,0.9981143608914318,0.9983235760262734,0.9933438985736925,0.994131641554322
enron,LinearSVC,synonym_replacement,none,0.0,0.0,-0.0059922289739632395,0.9981143608914318,0.9980308315862565,0.9933438985736925,0.9933438985736925
enron,LinearSVC,synonym_replacement,NFKD+collapse,0.0,0.07930214115781443,0.005719854929706334,0.9981143608914318,0.9981507970712697,0.9933438985736925,0.994131641554322
enron,LinearSVC,textfooler_lite,none,0.0,0.0,-0.0059922289739632395,0.9981143608914318,0.9980308315862565,0.9933438985736925,0.9933438985736925
enron,LinearSVC,textfooler_lite,NFKD+collapse,0.0,0.07930214115781443,0.005719854929706334,0.9981143608914318,0.9981507970712697,0.9933438985736925,0.994131641554322
combined,LinearSVC,char_substitution,none,0.0,0.0,-0.02665136694202399,0.9987362568836435,0.9983123723805521,0.9917657822506862,0.9917657822506862
combined,LinearSVC,char_substitution,NFKD+collapse,9.40959409594096,-4.990903259424408,-0.47910884899272566,0.9987362568836435,0.9928798211090321,0.9917657822506862,0.9422677114984808
combined,LinearSVC,whitespace_injection,none,0.03075030750307503,-0.015504120269206043,-0.0026223959861341422,0.9987362568836435,0.9987117083890501,0.9917657822506862,0.9916120176910173
combined,LinearSVC,whitespace_injection,NFKD+collapse,0.12300123001230012,-0.07729093309240605,-0.003071535630182659,0.9987362568836435,0.9986768264802782,0.9917657822506862,0.9909992372234935
combined,LinearSVC,synonym_replacement,none,0.03075030750307503,-0.015504120269206043,0.002955628625260459,0.9987362568836435,0.9987374314280533,0.9917657822506862,0.9916120176910173
combined,LinearSVC,synonym_replacement,NFKD+collapse,0.15375153751537515,-0.09281394309213373,-0.002926651874046581,0.9987362568836435,0.9986660140669005,0.9917657822506862,0.9908452853219408
combined,LinearSVC,textfooler_lite,none,0.03075030750307503,-0.015504120269206043,-0.0011808026125323752,0.9987362568836435,0.9987211716702461,0.9917657822506862,0.9916120176910173
combined,LinearSVC,textfooler_lite,NFKD+collapse,0.15375153751537515,-0.09281394309213373,-0.007077571487457469,0.9987362568836435,0.9986497295572548,0.9917657822506862,0.9908452853219408
