char_count,word_count,avg_word_len,num_digits,has_currency,has_unsubscribe,ratio_stopwords,punctuation_ratio,entropy_text,has_reply_marker,has_signature_block,has_shortcode,label,source
111.0,20.0,4.6,0.0,0.0,0.0,0.2,0.08108108,4.350843,0.0,0.0,0.0,0,sms
29.0,6.0,4.0,0.0,0.0,0.0,0.0,0.20689656,3.4906015,0.0,0.0,0.0,0,sms
155.0,28.0,4.571429,25.0,0.0,0.0,0.17857143,0.038709678,4.849076,0.0,0.0,1.0,1,sms
49.0,11.0,3.5454545,0.0,0.0,0.0,0.18181819,0.12244898,3.7114515,0.0,0.0,0.0,0,sms
61.0,13.0,3.7692308,0.0,0.0,0.0,0.46153846,0.032786883,4.001739,0.0,0.0,0.0,0,sms
148.0,32.0,3.65625,4.0,1.0,0.0,0.4375,0.054054055,4.84673,0.0,0.0,0.0,1,sms
77.0,16.0,3.875,0.0,0.0,0.0,0.4375,0.025974026,4.0491457,0.0,0.0,0.0,0,sms
160.0,26.0,5.1923075,1.0,0.0,0.0,0.3846154,0.0375,4.336794,0.0,0.0,0.0,0,sms
158.0,26.0,5.1153846,19.0,1.0,0.0,0.26923078,0.03797468,4.961245,0.0,0.0,0.0,1,sms
154.0,29.0,4.3448277,13.0,0.0,0.0,0.3448276,0.012987013,4.6295724,0.0,0.0,0.0,1,sms
109.0,21.0,4.2380953,0.0,0.0,0.0,0.42857143,0.055045873,4.2876654,0.0,0.0,0.0,0,sms
136.0,26.0,4.269231,22.0,0.0,0.0,0.1923077,0.05882353,5.00947,0.0,0.0,1.0,1,sms
156.0,26.0,5.0384617,20.0,1.0,0.0,0.30769232,0.051282052,5.406899,0.0,0.0,1.0,1,sms
196.0,37.0,4.324324,0.0,0.0,0.0,0.5945946,0.020408163,4.345347,0.0,0.0,0.0,0,sms
35.0,8.0,3.5,0.0,0.0,0.0,0.625,0.057142857,3.7803946,0.0,0.0,0.0,0,sms
149.0,19.0,6.894737,0.0,0.0,0.0,0.31578946,0.0738255,5.0080633,0.0,0.0,0.0,1,sms
26.0,4.0,5.75,0.0,0.0,0.0,0.0,0.23076923,3.9361804,0.0,0.0,0.0,0,sms
81.0,19.0,3.3157895,1.0,0.0,0.0,0.31578946,0.061728396,4.322075,0.0,0.0,0.0,0,sms
58.0,13.0,3.5384614,0.0,0.0,0.0,0.30769232,0.01724138,3.9935503,0.0,0.0,0.0,0,sms
156.0,24.0,5.5416665,23.0,0.0,0.0,0.125,0.051282052,5.340168,0.0,0.0,1.0,1,sms
41.0,8.0,4.25,0.0,0.0,0.0,0.625,0.024390243,3.8924866,0.0,0.0,0.0,0,sms
49.0,11.0,3.5454545,1.0,0.0,0.0,0.27272728,0.0,4.0604167,0.0,0.0,0.0,0,sms
53.0,11.0,3.909091,0.0,0.0,0.0,0.36363637,0.13207547,4.2801204,0.0,0.0,0.0,0,sms
88.0,20.0,3.45,1.0,0.0,0.0,0.25,0.03409091,4.2836924,0.0,0.0,0.0,0,sms
57.0,11.0,4.2727275,0.0,0.0,0.0,0.54545456,0.03508772,4.1759934,0.0,0.0,0.0,0,sms
144.0,28.0,4.178571,0.0,0.0,0.0,0.4642857,0.048611112,4.5744977,0.0,0.0,0.0,0,sms
30.0,5.0,5.2,0.0,0.0,0.0,0.4,0.033333335,3.7483287,0.0,0.0,0.0,0,sms
134.0,32.0,3.21875,0.0,0.0,0.0,0.5,0.04477612,4.3107796,0.0,0.0,0.0,0,sms
75.0,15.0,4.0666666,0.0,0.0,0.0,0.4,0.093333334,4.4159236,0.0,0.0,0.0,0,sms
64.0,12.0,4.4166665,0.0,0.0,0.0,0.33333334,0.0625,4.29633,0.0,0.0,0.0,0,sms
130.0,26.0,4.0384617,0.0,0.0,0.0,0.5769231,0.03076923,4.0473666,0.0,0.0,0.0,0,sms
189.0,41.0,3.609756,2.0,0.0,0.0,0.4878049,0.037037037,4.357908,0.0,1.0,0.0,0,sms
29.0,6.0,4.0,0.0,0.0,0.0,0.33333334,0.03448276,3.8035088,0.0,0.0,0.0,0,sms
84.0,17.0,4.0,0.0,0.0,0.0,0.64705884,0.011904762,4.2895975,0.0,0.0,0.0,0,sms
159.0,29.0,4.5172415,1.0,1.0,0.0,0.51724136,0.012578616,4.718237,0.0,0.0,0.0,1,sms
123.0,28.0,3.4285715,2.0,0.0,0.0,0.42857143,0.05691057,4.2622137,0.0,0.0,0.0,0,sms
47.0,9.0,4.3333335,0.0,0.0,0.0,0.44444445,0.06382979,4.0604167,0.0,0.0,0.0,0,sms
28.0,8.0,2.625,0.0,0.0,0.0,0.5,0.0,3.517816,0.0,0.0,0.0,0,sms
27.0,4.0,6.0,0.0,0.0,0.0,0.0,0.22222222,3.6053886,0.0,0.0,0.0,0,sms
155.0,30.0,4.2,0.0,0.0,0.0,0.6,0.045161292,4.327663,0.0,0.0,0.0,0,sms
82.0,17.0,3.8823528,0.0,0.0,0.0,0.47058824,0.036585364,4.158857,0.0,0.0,0.0,0,sms
142.0,34.0,3.2058823,0.0,0.0,0.0,0.47058824,0.1056338,4.3357177,0.0,0.0,0.0,0,sms
172.0,33.0,4.242424,22.0,0.0,0.0,0.33333334,0.029069768,4.7193723,0.0,0.0,0.0,1,sms
19.0,4.0,4.0,0.0,0.0,0.0,0.75,0.05263158,3.5778196,0.0,0.0,0.0,0,sms
72.0,13.0,4.4615383,0.0,0.0,0.0,0.3846154,0.1388889,4.4801164,0.0,0.0,0.0,0,sms
32.0,3.0,10.0,0.0,0.0,0.0,0.33333334,0.125,3.268182,0.0,0.0,0.0,0,sms
45.0,8.0,4.75,0.0,0.0,0.0,0.375,0.044444446,3.9118512,0.0,0.0,0.0,0,sms
31.0,5.0,5.4,0.0,0.0,0.0,0.0,0.06451613,3.5282426,0.0,0.0,0.0,0,sms
67.0,14.0,3.857143,0.0,0.0,0.0,0.35714287,0.029850746,4.3006406,0.0,0.0,0.0,0,sms
148.0,30.0,3.9666667,0.0,0.0,0.0,0.46666667,0.0472973,4.398862,0.0,0.0,0.0,0,sms
58.0,12.0,3.9166667,0.0,0.0,0.0,0.5,0.03448276,4.153008,0.0,0.0,0.0,0,sms
124.0,23.0,4.347826,0.0,0.0,0.0,0.3043478,0.088709675,4.288655,0.0,0.0,0.0,0,sms
80.0,16.0,4.0625,0.0,0.0,0.0,0.375,0.0125,4.2162127,0.0,0.0,0.0,0,sms
291.0,55.0,4.309091,0.0,0.0,0.0,0.58181816,0.05498282,4.445128,0.0,0.0,0.0,0,sms
120.0,22.0,4.5,0.0,0.0,0.0,0.18181819,0.041666668,4.7538958,0.0,0.0,0.0,1,sms
76.0,13.0,4.8461537,0.0,0.0,0.0,0.46153846,0.078947365,4.47881,0.0,0.0,0.0,0,sms
161.0,27.0,4.962963,24.0,0.0,0.0,0.11111111,0.07453416,5.008702,0.0,0.0,0.0,1,sms
34.0,6.0,4.8333335,0.0,0.0,0.0,0.33333334,0.0882353,3.8538632,0.0,0.0,0.0,0,sms
22.0,4.0,4.75,0.0,0.0,0.0,0.5,0.0,3.3211043,0.0,0.0,0.0,0,sms
40.0,7.0,4.857143,0.0,0.0,0.0,0.42857143,0.075,3.822182,0.0,0.0,0.0,0,sms
108.0,23.0,3.7391305,1.0,1.0,0.0,0.47826087,0.046296295,4.461742,0.0,0.0,0.0,0,sms
48.0,9.0,4.4444447,0.0,0.0,0.0,0.11111111,0.041666668,3.9037018,0.0,0.0,0.0,0,sms
25.0,6.0,3.3333333,0.0,0.0,0.0,0.5,0.0,3.9219282,0.0,0.0,0.0,0,sms
56.0,12.0,3.75,0.0,0.0,0.0,0.41666666,0.035714287,3.899659,0.0,0.0,0.0,0,sms
110.0,24.0,3.625,0.0,0.0,0.0,0.25,0.018181818,4.167709,0.0,0.0,0.0,0,sms
153.0,28.0,4.5,15.0,1.0,0.0,0.4642857,0.019607844,4.8192544,0.0,0.0,1.0,1,sms
124.0,23.0,4.4347825,0.0,0.0,0.0,0.3478261,0.08064516,4.4925056,0.0,0.0,0.0,0,sms
161.0,22.0,6.3636365,21.0,1.0,0.0,0.22727273,0.062111802,5.230705,0.0,0.0,1.0,1,sms
80.0,15.0,4.4,0.0,0.0,0.0,0.53333336,0.0875,4.54977,0.0,0.0,0.0,1,sms
34.0,8.0,3.375,0.0,0.0,0.0,0.5,0.029411765,3.7821221,0.0,0.0,0.0,0,sms
46.0,8.0,4.875,0.0,0.0,0.0,0.25,0.19565217,3.6408134,0.0,0.0,0.0,0,sms
29.0,5.0,5.0,0.0,0.0,0.0,0.4,0.03448276,3.8136606,0.0,0.0,0.0,0,sms
45.0,10.0,3.6,0.0,0.0,0.0,0.3,0.022222223,3.7527153,0.0,0.0,0.0,0,sms
42.0,6.0,6.1666665,0.0,0.0,0.0,0.5,0.14285715,4.010412,0.0,0.0,0.0,0,sms
20.0,5.0,3.2,0.0,0.0,0.0,0.4,0.15,3.2028196,0.0,0.0,0.0,0,sms
43.0,9.0,3.8888888,0.0,0.0,0.0,0.5555556,0.046511628,4.011585,0.0,0.0,0.0,0,sms
73.0,14.0,4.285714,0.0,0.0,0.0,0.5714286,0.02739726,4.0795293,0.0,0.0,0.0,0,sms
50.0,11.0,3.6363637,0.0,0.0,0.0,0.54545456,0.06,4.1939425,0.0,0.0,0.0,0,sms
42.0,7.0,4.857143,0.0,0.0,0.0,0.71428573,0.11904762,3.7633584,0.0,0.0,0.0,0,sms
76.0,16.0,3.8125,0.0,0.0,0.0,0.5,0.05263158,4.325292,0.0,0.0,0.0,0,sms
22.0,4.0,4.75,0.0,0.0,0.0,0.25,0.09090909,3.2813735,0.0,0.0,0.0,0,sms
32.0,8.0,3.0,0.0,0.0,0.0,0.625,0.0625,4.2516294,0.0,0.0,0.0,0,sms
32.0,10.0,2.3,0.0,0.0,0.0,0.5,0.0,3.4144413,0.0,0.0,0.0,0,sms
36.0,9.0,3.1111112,0.0,0.0,0.0,0.7777778,0.0,3.842371,0.0,0.0,0.0,0,sms
14.0,3.0,4.0,0.0,0.0,0.0,0.0,0.071428575,3.251629,0.0,0.0,0.0,0,sms
55.0,11.0,4.090909,0.0,0.0,0.0,0.45454547,0.09090909,4.34131,0.0,0.0,0.0,0,sms
121.0,26.0,3.6923077,1.0,0.0,0.0,0.5,0.03305785,4.240643,0.0,0.0,0.0,0,sms
144.0,31.0,3.6774194,0.0,0.0,0.0,0.4516129,0.027777778,4.262777,0.0,0.0,0.0,0,sms
42.0,9.0,3.7777777,0.0,0.0,0.0,0.5555556,0.023809524,3.8810055,0.0,0.0,0.0,0,sms
41.0,7.0,5.0,0.0,0.0,0.0,0.0,0.12195122,3.900153,0.0,0.0,0.0,0,sms
62.0,10.0,5.3,0.0,0.0,0.0,0.1,0.048387095,4.186589,0.0,0.0,0.0,0,sms
195.0,39.0,4.0,2.0,0.0,0.0,0.53846157,0.025641026,4.258357,0.0,0.0,0.0,0,sms
141.0,26.0,4.4615383,1.0,0.0,0.0,0.1923077,0.014184397,4.398989,0.0,0.0,0.0,0,sms
139.0,23.0,5.0869565,22.0,1.0,0.0,0.39130434,0.01438849,4.6158648,0.0,0.0,1.0,1,sms
107.0,20.0,4.4,3.0,0.0,0.0,0.2,0.028037382,4.436372,0.0,0.0,0.0,0,sms
125.0,22.0,4.7272725,5.0,0.0,0.0,0.36363637,0.048,4.783018,0.0,0.0,1.0,1,sms
33.0,5.0,5.8,0.0,0.0,0.0,0.0,0.09090909,3.9783335,0.0,0.0,0.0,0,sms
51.0,12.0,3.3333333,0.0,0.0,0.0,0.5833333,0.019607844,3.827567,0.0,0.0,0.0,0,sms
184.0,39.0,3.7435896,0.0,0.0,0.0,0.41025642,0.048913043,4.344697,0.0,0.0,0.0,0,sms
57.0,11.0,4.2727275,0.0,0.0,0.0,0.45454547,0.05263158,3.972365,0.0,0.0,0.0,0,sms
81.0,21.0,2.9047618,0.0,0.0,0.0,0.33333334,0.024691358,4.3439507,0.0,0.0,0.0,0,sms
76.0,16.0,3.8125,1.0,0.0,0.0,0.4375,0.039473683,4.3340144,0.0,0.0,0.0,0,sms
160.0,26.0,5.1923075,1.0,0.0,0.0,0.3846154,0.0375,4.336794,0.0,0.0,0.0,0,sms
183.0,36.0,4.111111,0.0,0.0,0.0,0.44444445,0.043715846,4.342607,0.0,0.0,0.0,0,sms
44.0,10.0,3.5,0.0,0.0,0.0,0.3,0.0,3.6395984,0.0,0.0,0.0,0,sms
95.0,17.0,4.647059,0.0,0.0,0.0,0.47058824,0.021052632,4.2075825,0.0,0.0,0.0,0,sms
43.0,10.0,3.4,0.0,0.0,0.0,0.6,0.046511628,4.1607046,0.0,0.0,0.0,0,sms
82.0,14.0,4.928571,0.0,0.0,0.0,0.42857143,0.0121951215,4.1565385,0.0,0.0,0.0,0,sms
115.0,24.0,3.8333333,0.0,0.0,0.0,0.5,0.052173913,4.3695593,0.0,0.0,0.0,0,sms
30.0,6.0,4.1666665,0.0,0.0,0.0,0.33333334,0.1,3.843856,0.0,0.0,0.0,0,sms
40.0,8.0,4.125,0.0,0.0,0.0,0.625,0.025,3.8242528,0.0,0.0,0.0,0,sms
31.0,5.0,5.4,0.0,0.0,0.0,0.4,0.06451613,3.8561964,0.0,0.0,0.0,0,sms
96.0,24.0,3.0416667,1.0,0.0,0.0,0.29166666,0.041666668,4.3350286,0.0,0.0,0.0,0,sms
159.0,27.0,4.9259257,22.0,1.0,0.0,0.25925925,0.03773585,5.1059246,0.0,0.0,1.0,1,sms
143.0,24.0,5.0,0.0,0.0,0.0,0.25,0.10489511,4.4031353,0.0,0.0,0.0,0,sms
156.0,32.0,3.90625,1.0,0.0,0.0,0.40625,0.083333336,4.603851,0.0,0.0,0.0,0,sms
153.0,27.0,4.6666665,22.0,1.0,0.0,0.33333334,0.045751635,4.761914,0.0,0.0,1.0,1,sms
72.0,12.0,5.0,0.0,0.0,0.0,0.16666667,0.055555556,4.102213,0.0,0.0,0.0,0,sms
86.0,15.0,4.8,0.0,0.0,0.0,0.4,0.069767445,4.369607,0.0,0.0,0.0,0,sms
144.0,20.0,6.25,34.0,0.0,0.0,0.15,0.020833334,5.0573707,0.0,0.0,1.0,1,sms
