source,class,feature,p50,p90,p95,max
sms,ham,char_count,52.0,145.60000000000036,160.0,910.0
sms,ham,num_digits,0.0,1.0,2.0,23.0
sms,ham,has_currency,0.0,0.0,0.0,1.0
sms,ham,has_unsubscribe,0.0,0.0,0.0,0.0
sms,ham,entropy_text,4.0604166984558105,4.418439102172852,4.527380847930909,5.130774974822998
sms,ham,has_shortcode,0.0,0.0,0.0,1.0
sms,ham,has_signature_block,0.0,0.0,0.0,1.0
sms,spam,char_count,149.0,161.0,162.69999999999993,224.0
sms,spam,num_digits,16.0,26.0,29.0,47.0
sms,spam,has_currency,0.0,1.0,1.0,1.0
sms,spam,has_unsubscribe,0.0,0.0,0.0,1.0
sms,spam,entropy_text,4.908884525299072,5.200928211212158,5.259989786148071,5.467484474182129
sms,spam,has_shortcode,1.0,1.0,1.0,1.0
sms,spam,has_signature_block,0.0,0.0,0.0,0.0
enron,ham,char_count,795.0,3123.0,4526.799999999999,228368.0
enron,ham,num_digits,24.0,88.0,131.0,4372.0
enron,ham,has_currency,0.0,1.0,1.0,1.0
enron,ham,has_unsubscribe,0.0,0.0,0.0,1.0
enron,ham,entropy_text,4.518764495849609,4.75390100479126,4.8171507835388185,5.169471263885498
enron,ham,has_shortcode,1.0,1.0,1.0,1.0
enron,ham,has_signature_block,0.0,0.0,1.0,1.0
enron,spam,char_count,1206.0,2300.0,6614.0,6614.0
enron,spam,num_digits,33.0,56.0,56.0,56.0
enron,spam,has_currency,0.0,1.0,1.0,1.0
enron,spam,has_unsubscribe,0.0,0.0,0.0,0.0
enron,spam,entropy_text,4.739821434020996,4.7956223487854,4.7956223487854,4.7956223487854
enron,spam,has_shortcode,1.0,1.0,1.0,1.0
enron,spam,has_signature_block,0.0,0.0,0.0,0.0
combined,ham,char_count,495.0,2687.0,3937.0999999999985,228368.0
combined,ham,num_digits,14.0,76.0,112.0,4372.0
combined,ham,has_currency,0.0,1.0,1.0,1.0
combined,ham,has_unsubscribe,0.0,0.0,0.0,1.0
combined,ham,entropy_text,4.451045036315918,4.72963695526123,4.802478694915772,5.169471263885498
combined,ham,has_shortcode,1.0,1.0,1.0,1.0
combined,ham,has_signature_block,0.0,0.0,0.0,1.0
combined,spam,char_count,1206.0,2300.0,6614.0,6614.0
combined,spam,num_digits,33.0,56.0,56.0,56.0
combined,spam,has_currency,0.0,1.0,1.0,1.0
combined,spam,has_unsubscribe,0.0,0.0,0.0,1.0
combined,spam,entropy_text,4.739821434020996,4.7956223487854,4.7956223487854,5.467484474182129
combined,spam,has_shortcode,1.0,1.0,1.0,1.0
combined,spam,has_signature_block,0.0,0.0,0.0,0.0
