model,source,curve,x,y,threshold
LR,combined,pr,1.0,0.4342666666666667,1.0749896655716307e-17
LR,combined,pr,1.0,0.4343245766102147,2.184592632488312e-16
LR,combined,pr,1.0,0.43438250200053347,1.461404593829904e-10
LR,combined,pr,1.0,0.4344404428438042,3.2691832694397285e-10
LR,combined,pr,1.0,0.4344983991462113,8.525770711464371e-10
LR,combined,pr,1.0,0.4345563709139426,1.1274017150661938e-09
LR,combined,pr,1.0,0.4346143581531892,2.278368782044996e-09
LR,combined,pr,1.0,0.4346723608701455,3.8221550900971054e-09
LR,combined,pr,1.0,0.4347303790710091,4.141873414177885e-09
LR,combined,pr,1.0,0.43478841276198105,9.203624101544391e-09
LR,combined,pr,1.0,0.4348464619492657,9.532158700636902e-09
LR,combined,pr,1.0,0.43490452663907064,1.3697986753827933e-08
LR,combined,pr,1.0,0.43496260683760685,1.7707094886433202e-08
LR,combined,pr,1.0,0.43502070255108855,3.380361153672064e-08
LR,combined,pr,1.0,0.4350788137857334,3.7725255157194076e-08
LR,combined,pr,1.0,0.4351369405477622,4.148052466395332e-08
LR,combined,pr,1.0,0.43519508284339925,6.343180524257587e-08
LR,combined,pr,1.0,0.4352532406788721,8.321985469348125e-08
LR,combined,pr,1.0,0.43531141406041163,1.1068667543056169e-07
LR,combined,pr,1.0,0.4353696029942521,1.199353300648809e-07
LR,combined,pr,1.0,0.435427807486631,1.3198024976788203e-07
LR,combined,pr,1.0,0.4354860275437893,1.5340000686349218e-07
LR,combined,pr,1.0,0.4355442631719711,1.7358125404362722e-07
LR,combined,pr,1.0,0.4356025143774241,1.7359852382964422e-07
LR,combined,pr,1.0,0.43566078116639917,2.1747203444926788e-07
LR,combined,pr,1.0,0.4357190635451505,2.240031461823435e-07
LR,combined,pr,1.0,0.4357773615199358,2.5022839248468456e-07
LR,combined,pr,1.0,0.43583567509701593,3.2208809386224456e-07
LR,combined,pr,1.0,0.43589400428265523,3.6276831462341464e-07
LR,combined,pr,1.0,0.4359523490831214,3.7119292466911097e-07
LR,combined,pr,1.0,0.4360107095046854,4.0360079876827987e-07
LR,combined,pr,1.0,0.4360690855536216,4.365379399126915e-07
LR,combined,pr,1.0,0.4361274772362078,5.192680567447517e-07
LR,combined,pr,1.0,0.43618588455872503,5.530401724425102e-07
LR,combined,pr,1.0,0.4362443075274578,8.690791255787637e-07
LR,combined,pr,1.0,0.4363027461486939,9.618259882245384e-07
LR,combined,pr,1.0,0.43636120042872456,1.1006873388406596e-06
LR,combined,pr,1.0,0.4364196703738443,1.3040498350770757e-06
LR,combined,pr,1.0,0.4364781559903511,1.307863236212801e-06
LR,combined,pr,1.0,0.4365366572845463,1.342687917722574e-06
LR,combined,pr,1.0,0.4365951742627346,1.3699837075905131e-06
LR,combined,pr,1.0,0.436653706931224,1.3791501150436576e-06
LR,combined,pr,1.0,0.43671225529632607,1.3894322320850118e-06
LR,combined,pr,1.0,0.43677081936435563,1.429873216942809e-06
LR,combined,pr,1.0,0.4368293991416309,1.6556018396408832e-06
LR,combined,pr,1.0,0.43688799463447353,1.7436846237056735e-06
LR,combined,pr,1.0,0.43694660584920847,1.929501727278671e-06
LR,combined,pr,1.0,0.43700523279216424,2.0132632202268666e-06
LR,combined,pr,1.0,0.43706387546967257,2.03932641645282e-06
LR,combined,pr,1.0,0.4371225338880687,2.526800979569645e-06
LR,combined,pr,1.0,0.43718120805369126,2.555087094078778e-06
LR,combined,pr,1.0,0.43723989797288226,3.822677034386744e-06
LR,combined,pr,1.0,0.4372986036519871,4.969063429813641e-06
LR,combined,pr,1.0,0.43735732509735464,6.016538212172729e-06
LR,combined,pr,1.0,0.4374160623153371,6.043787748423759e-06
LR,combined,pr,1.0,0.43747481531229016,7.0794223550839344e-06
LR,combined,pr,1.0,0.4375335840945728,7.186802239724219e-06
LR,combined,pr,1.0,0.4375923686685476,7.401917228654695e-06
LR,combined,pr,1.0,0.4376511690405805,7.524261870445828e-06
LR,combined,pr,1.0,0.43770998521704074,7.630539840071808e-06
LR,combined,pr,1.0,0.43776881720430105,7.73918522211443e-06
LR,combined,pr,1.0,0.4378276650087377,7.793324579564955e-06
LR,combined,pr,1.0,0.4378865286367303,8.361206474181663e-06
LR,combined,pr,1.0,0.4379454080946618,8.364544644103206e-06
LR,combined,pr,1.0,0.43800430338891877,8.37930566684517e-06
LR,combined,pr,1.0,0.43806321452589103,8.47951739697026e-06
LR,combined,pr,1.0,0.43812214151197204,8.799691224167722e-06
LR,combined,pr,1.0,0.4382400430570506,9.532164877012999e-06
LR,combined,pr,1.0,0.4382990176288521,9.674167861178209e-06
LR,combined,pr,1.0,0.4383580080753701,1.0025307614659278e-05
LR,combined,pr,1.0,0.4384170144030152,1.0400515703397258e-05
LR,combined,pr,1.0,0.4384760366182014,1.0431408576871594e-05
LR,combined,pr,1.0,0.43853507472734615,1.0997366797457045e-05
LR,combined,pr,1.0,0.4385941287368705,1.1005561127532127e-05
LR,combined,pr,1.0,0.43865319865319863,1.1116264630850143e-05
LR,combined,pr,1.0,0.4387122844827586,1.1291828274542022e-05
LR,combined,pr,1.0,0.4387713862319817,1.227959491892981e-05
LR,combined,pr,1.0,0.4388305039073026,1.2367963182266945e-05
LR,combined,pr,1.0,0.4388896375151597,1.2943042178531228e-05
LR,combined,pr,1.0,0.4389487870619946,1.3025294734286896e-05
LR,combined,pr,1.0,0.43900795255425257,1.3737005248521411e-05
LR,combined,pr,1.0,0.4390671339983823,1.453091815451855e-05
LR,combined,pr,1.0,0.4391263314008359,1.4875445637270167e-05
LR,combined,pr,1.0,0.43918554476806904,1.5233605721413253e-05
LR,combined,pr,1.0,0.4392447741065408,1.538544418824443e-05
LR,combined,pr,1.0,0.4393632807230541,1.539692246619166e-05
LR,combined,pr,1.0,0.4394225580140313,1.686163132756894e-05
LR,combined,pr,1.0,0.4394818513021185,1.7841165044039505e-05
LR,combined,pr,1.0,0.43954116059379217,1.835796865568259e-05
LR,combined,pr,1.0,0.43960048589553247,1.9196817641707592e-05
LR,combined,pr,1.0,0.4396598272138229,1.9641338430016223e-05
LR,combined,pr,1.0,0.4397191845551505,1.9865498262958278e-05
LR,combined,pr,1.0,0.43977855792600595,2.041738759874857e-05
LR,combined,pr,1.0,0.4398379473328832,2.0739811695038283e-05
LR,combined,pr,1.0,0.43989735278227987,2.1968684098743687e-05
LR,combined,pr,1.0,0.439956774280697,2.2026491614110988e-05
LR,combined,pr,1.0,0.4400162118346393,2.40733748501455e-05
LR,combined,pr,1.0,0.4400756654506148,2.8022605796619273e-05
LR,combined,pr,1.0,0.44013513513513514,2.819600047059518e-05
LR,combined,pr,1.0,0.4401946208947155,2.8446039456685313e-05
LR,combined,pr,1.0,0.44025412273587455,3.4475188109640546e-05
LR,combined,pr,1.0,0.4403136406651345,3.491754418220975e-05
LR,combined,pr,1.0,0.4403731746890211,3.515784929015318e-05
LR,combined,pr,1.0,0.44043272481406354,3.582476521689671e-05
LR,combined,pr,1.0,0.4404922910467947,3.62348131413151e-05
LR,combined,pr,1.0,0.44055187339375085,3.691671126621661e-05
LR,combined,pr,1.0,0.44061147186147187,3.7959746137204946e-05
LR,combined,pr,1.0,0.44067108645650116,3.819709427287441e-05
LR,combined,pr,1.0,0.44073071718538565,3.881856425928213e-05
LR,combined,pr,1.0,0.44079036405467587,3.913407430842448e-05
LR,combined,pr,1.0,0.4408500270709258,4.00525430694414e-05
LR,combined,pr,1.0,0.4409097062406931,4.032930329185644e-05
LR,combined,pr,1.0,0.4409694015705389,4.0353004625213655e-05
LR,combined,pr,1.0,0.44102911306702774,4.130493591927432e-05
LR,combined,pr,1.0,0.44108884073672805,4.166770254180846e-05
LR,combined,pr,1.0,0.4411485845862116,4.17047651408566e-05
LR,combined,pr,1.0,0.44120834462205366,4.222841647215602e-05
LR,combined,pr,1.0,0.4413279132791328,4.349102355768727e-05
LR,combined,pr,1.0,0.4413877219135384,4.384328071797694e-05
LR,combined,pr,1.0,0.44144754676063974,4.4004947245361895e-05
LR,combined,pr,1.0,0.44150738782703,4.439342646563134e-05
LR,combined,pr,1.0,0.44156724511930584,4.663131669272255e-05
LR,combined,pr,1.0,0.4416271186440678,4.7666423144740236e-05
LR,combined,pr,1.0,0.44168700840791975,4.8580862705739175e-05
LR,combined,pr,1.0,0.44174691441746916,4.95162400467062e-05
LR,combined,pr,1.0,0.4418068366793272,4.9760543230162464e-05
LR,combined,pr,1.0,0.44186677520010853,5.041771065126557e-05
LR,combined,pr,1.0,0.44192672998643145,5.053776646165203e-05
LR,combined,pr,1.0,0.4419867010449179,5.124050577712165e-05
LR,combined,pr,1.0,0.44204668838219324,5.127233228844474e-05
LR,combined,pr,1.0,0.44210669200488667,5.228197547388064e-05
LR,combined,pr,1.0,0.44216671191963075,5.4858475569090526e-05
LR,combined,pr,1.0,0.4422267481330618,5.599836261428711e-05
LR,combined,pr,1.0,0.4422868006518197,5.624221285150816e-05
LR,combined,pr,1.0,0.44234686948254787,5.878898642664849e-05
LR,combined,pr,1.0,0.4424069546318935,5.885396841302791e-05
LR,combined,pr,1.0,0.4424670561065073,6.132830618312511e-05
LR,combined,pr,1.0,0.44252717391304347,6.576303393078459e-05
LR,combined,pr,1.0,0.4425873080581601,6.613539911118048e-05
LR,combined,pr,1.0,0.4426474585485186,6.631213103471721e-05
LR,combined,pr,1.0,0.4427076253907843,6.68724513591312e-05
LR,combined,pr,1.0,0.4427678085916259,6.814876793950003e-05
LR,combined,pr,1.0,0.44282800815771584,6.875674196600605e-05
LR,combined,pr,1.0,0.4428882240957302,7.018959160225818e-05
LR,combined,pr,1.0,0.4429484564123487,7.76540200410981e-05
LR,combined,pr,1.0,0.4430087051142546,7.863113643617797e-05
LR,combined,pr,1.0,0.44306897020813496,8.008086279881824e-05
LR,combined,pr,1.0,0.4431292517006803,8.053820935765772e-05
LR,combined,pr,1.0,0.44318954959858486,8.142599665455801e-05
LR,combined,pr,1.0,0.44324986390854654,8.198910763152514e-05
LR,combined,pr,1.0,0.4433101946372669,8.23964874807093e-05
LR,combined,pr,1.0,0.44337054179145113,8.415442959791449e-05
LR,combined,pr,1.0,0.44343090537780805,8.550518273201262e-05
LR,combined,pr,1.0,0.4434912854030501,8.561887109591688e-05
LR,combined,pr,1.0,0.4435516818738935,8.603866001162536e-05
LR,combined,pr,1.0,0.44361209479705804,8.61180211355782e-05
LR,combined,pr,1.0,0.4436725241792671,9.035343994222084e-05
LR,combined,pr,1.0,0.44373297002724793,9.193427349946578e-05
LR,combined,pr,1.0,0.4437934323477313,9.400354625681772e-05
LR,combined,pr,1.0,0.4438539111474516,9.412226768289593e-05
LR,combined,pr,1.0,0.44391440643314706,9.61190206471717e-05
LR,combined,pr,1.0,0.44397491821155943,9.756365025697228e-05
LR,combined,pr,1.0,0.4440354464894342,9.950780203224777e-05
LR,combined,pr,1.0,0.44409599127352056,0.00010075809724409086
LR,combined,pr,1.0,0.4441565525705714,0.00010126729844103417
LR,combined,pr,1.0,0.4442171303873432,0.00010187020881520154
LR,combined,pr,1.0,0.4442777247305961,0.00010270576688839876
LR,combined,pr,1.0,0.4443383356070941,0.00010340902536490843
LR,combined,pr,1.0,0.4443989630236049,0.00011767274201137969
LR,combined,pr,1.0,0.44445960698689957,0.00012176768348781969
LR,combined,pr,1.0,0.44452026750375323,0.00012544684961395694
LR,combined,pr,1.0,0.4445809445809446,0.00012614400899499693
LR,combined,pr,1.0,0.444641638225256,0.00012880058479447151
LR,combined,pr,1.0,0.4447023484434735,0.00013223192077046304
LR,combined,pr,1.0,0.444763075242387,0.0001332132779194793
LR,combined,pr,1.0,0.44482381862878995,0.00013611372792626426
LR,combined,pr,1.0,0.44488457860947955,0.00013719290398105205
LR,combined,pr,1.0,0.44494535519125683,0.00013920696306896936
LR,combined,pr,1.0,0.44500614838092634,0.00014052198938272031
LR,combined,pr,1.0,0.4450669581852965,0.00014055018440390136
LR,combined,pr,1.0,0.44512778461117947,0.0001439430909740219
LR,combined,pr,1.0,0.4451886276653909,0.00014412183119062567
LR,combined,pr,1.0,0.4452494873547505,0.00014442123389061943
LR,combined,pr,1.0,0.4453103636860815,0.00014553809434218962
LR,combined,pr,1.0,0.44537125666621086,0.00014621254907104528
LR,combined,pr,1.0,0.44543216630196936,0.0001464084454160444
LR,combined,pr,1.0,0.4454930926001915,0.0001476989343088594
LR,combined,pr,1.0,0.44555403556771545,0.00014828560140967386
LR,combined,pr,1.0,0.4456149952113832,0.00015020516126538274
LR,combined,pr,1.0,0.4456759715380405,0.0001504044448552614
LR,combined,pr,1.0,0.44573696455453676,0.0001541889256064079
LR,combined,pr,1.0,0.44579797426772516,0.00015469742068980593
