model,source,curve,x,y,threshold
LR,enron,pr,1.0,0.4882380433089266,3.987478229799512e-31
LR,enron,pr,1.0,0.48831411654721096,3.885890781644374e-10
LR,enron,pr,1.0,0.48839021349540285,6.888636596547153e-08
LR,enron,pr,1.0,0.4884663341645885,9.298618587342991e-08
LR,enron,pr,1.0,0.48854247856586125,1.9541155470463331e-07
LR,enron,pr,1.0,0.4886186467103212,5.287218636463951e-07
LR,enron,pr,1.0,0.4886948386090753,8.715179836541181e-07
LR,enron,pr,1.0,0.4887710542732377,1.035197224865813e-06
LR,enron,pr,1.0,0.4888472937139292,1.0830651811774564e-06
LR,enron,pr,1.0,0.4889235569422777,1.135337102654643e-06
LR,enron,pr,1.0,0.488999843969418,1.3983708029167653e-06
LR,enron,pr,1.0,0.48907615480649186,1.6060365418028319e-06
LR,enron,pr,1.0,0.48915248946464807,2.29355783452263e-06
LR,enron,pr,1.0,0.4892288479550421,2.4979611144285815e-06
LR,enron,pr,1.0,0.4893052302888368,2.5434042618426197e-06
LR,enron,pr,1.0,0.48938163647720173,3.3203178997653244e-06
LR,enron,pr,1.0,0.48945806653131346,3.4956596622780778e-06
LR,enron,pr,1.0,0.4895345204623555,4.085196024811515e-06
LR,enron,pr,1.0,0.4896109982815185,5.221387067187101e-06
LR,enron,pr,1.0,0.4896875,5.510092966392833e-06
LR,enron,pr,1.0,0.4897640256290045,5.572471945553904e-06
LR,enron,pr,1.0,0.48984057517974366,5.787827120725536e-06
LR,enron,pr,1.0,0.489917148663436,6.23276556043652e-06
LR,enron,pr,1.0,0.4899937460913071,6.234469838149473e-06
LR,enron,pr,1.0,0.49007036747458954,6.4211139496554476e-06
LR,enron,pr,1.0,0.490147012824523,6.512229631994941e-06
LR,enron,pr,1.0,0.4902236821523541,6.794539493450413e-06
LR,enron,pr,1.0,0.4903003754693367,6.838766758131808e-06
LR,enron,pr,1.0,0.49037709278673136,6.88917549879049e-06
LR,enron,pr,1.0,0.49045383411580595,7.102543389259437e-06
LR,enron,pr,1.0,0.49053059946783534,7.318477065738153e-06
LR,enron,pr,1.0,0.49060738885410143,8.287070471685533e-06
LR,enron,pr,1.0,0.4906842022858932,8.4745519515697e-06
LR,enron,pr,1.0,0.49076103977450675,9.038137064899197e-06
LR,enron,pr,1.0,0.4908379013312451,9.067500142939111e-06
LR,enron,pr,1.0,0.4909147869674185,9.452840960245436e-06
LR,enron,pr,1.0,0.49099169669434434,9.710696912785668e-06
LR,enron,pr,1.0,0.49114558846575773,9.865362951713112e-06
LR,enron,pr,1.0,0.49122257053291535,1.0682214198366111e-05
LR,enron,pr,1.0,0.49129957673616553,1.1477178593080615e-05
LR,enron,pr,1.0,0.4913766070868611,1.1865863742982237e-05
LR,enron,pr,1.0,0.49145366159636195,1.2096410802415847e-05
LR,enron,pr,1.0,0.4915307402760351,1.2308625563887515e-05
LR,enron,pr,1.0,0.4916078431372549,1.247961141792834e-05
LR,enron,pr,1.0,0.49168497019140256,1.2505532714348487e-05
LR,enron,pr,1.0,0.4918392969240427,1.2635140731912428e-05
LR,enron,pr,1.0,0.49191649662533354,1.29758524817388e-05
LR,enron,pr,1.0,0.4919937205651491,1.3108446516663015e-05
LR,enron,pr,1.0,0.4920709687549066,1.3149686080450971e-05
LR,enron,pr,1.0,0.4921482412060301,1.3346201593698334e-05
LR,enron,pr,1.0,0.49222553792995133,1.3359343321032762e-05
LR,enron,pr,1.0,0.4923028589381087,1.3516469381483582e-05
LR,enron,pr,1.0,0.49238020424194817,1.3711316620408682e-05
LR,enron,pr,1.0,0.4924575738529227,1.4059447056300372e-05
LR,enron,pr,1.0,0.49253496778249256,1.496692974170095e-05
LR,enron,pr,1.0,0.4926123860421251,1.557634114981732e-05
LR,enron,pr,1.0,0.4926898286432951,1.5841541378674247e-05
LR,enron,pr,1.0,0.4927672955974843,1.586763737786357e-05
LR,enron,pr,1.0,0.4928447869161818,1.6052296568494946e-05
LR,enron,pr,1.0,0.49292230261088393,1.6303147762875987e-05
LR,enron,pr,1.0,0.4929998426930942,1.6406820238024744e-05
LR,enron,pr,1.0,0.49307740717432347,1.671574851042609e-05
LR,enron,pr,1.0,0.4931549960660897,1.6847813931289524e-05
LR,enron,pr,1.0,0.49323260937991814,1.7155091983864493e-05
LR,enron,pr,1.0,0.4933102471273414,1.7372613585940323e-05
LR,enron,pr,1.0,0.49338790931989923,1.7469125914026745e-05
LR,enron,pr,1.0,0.4934655959691387,1.7474763664010025e-05
