model,source,curve,x,y,threshold
LSTM,combined,pr,1.0,0.4342666666666667,1.0493711189032235e-15
LSTM,combined,pr,1.0,0.4343245766102147,1.2444394185240999e-15
LSTM,combined,pr,1.0,0.43438250200053347,1.373727351219444e-15
LSTM,combined,pr,1.0,0.4344404428438042,2.5308482607934663e-15
LSTM,combined,pr,1.0,0.4344983991462113,2.81617977940555e-15
LSTM,combined,pr,1.0,0.4345563709139426,3.637574098137647e-15
LSTM,combined,pr,1.0,0.4346143581531892,3.8918284014314436e-15
LSTM,combined,pr,1.0,0.4346723608701455,5.034402155411084e-15
LSTM,combined,pr,1.0,0.4347303790710091,5.044494976494092e-15
LSTM,combined,pr,1.0,0.43478841276198105,5.251891840662255e-15
LSTM,combined,pr,1.0,0.4348464619492657,5.436617867997156e-15
LSTM,combined,pr,1.0,0.43490452663907064,6.06725337898577e-15
LSTM,combined,pr,1.0,0.43496260683760685,6.161764468207457e-15
LSTM,combined,pr,1.0,0.43502070255108855,6.285283894773763e-15
LSTM,combined,pr,1.0,0.4350788137857334,6.4719246400859326e-15
LSTM,combined,pr,1.0,0.4351369405477622,6.561266287230527e-15
LSTM,combined,pr,1.0,0.43519508284339925,6.847355053297456e-15
LSTM,combined,pr,1.0,0.4352532406788721,7.724103610407332e-15
LSTM,combined,pr,1.0,0.43531141406041163,9.113239337970279e-15
LSTM,combined,pr,1.0,0.4353696029942521,9.390839139839825e-15
LSTM,combined,pr,1.0,0.435427807486631,9.886027306298898e-15
LSTM,combined,pr,1.0,0.4354860275437893,1.0260605604365484e-14
LSTM,combined,pr,1.0,0.4355442631719711,1.0296286020235624e-14
LSTM,combined,pr,1.0,0.4356025143774241,1.0304852064431207e-14
LSTM,combined,pr,1.0,0.43566078116639917,1.0456992734285235e-14
LSTM,combined,pr,1.0,0.4357190635451505,1.0593745356586495e-14
LSTM,combined,pr,1.0,0.4357773615199358,1.0669219380318642e-14
LSTM,combined,pr,1.0,0.43583567509701593,1.2662908780358348e-14
LSTM,combined,pr,1.0,0.43589400428265523,1.2735671451626334e-14
LSTM,combined,pr,1.0,0.4359523490831214,1.2787907973483507e-14
LSTM,combined,pr,1.0,0.4360107095046854,1.2827776120244872e-14
LSTM,combined,pr,1.0,0.4360690855536216,1.3212676361806699e-14
LSTM,combined,pr,1.0,0.4361274772362078,1.3231717662460975e-14
LSTM,combined,pr,1.0,0.43618588455872503,1.3264971328937232e-14
LSTM,combined,pr,1.0,0.4362443075274578,1.3315593405996938e-14
LSTM,combined,pr,1.0,0.4363027461486939,1.3720940175872536e-14
LSTM,combined,pr,1.0,0.43636120042872456,1.454764517942568e-14
LSTM,combined,pr,1.0,0.4364196703738443,1.57463560419846e-14
LSTM,combined,pr,1.0,0.4364781559903511,1.62719992780622e-14
LSTM,combined,pr,1.0,0.4365366572845463,1.631694115217762e-14
LSTM,combined,pr,1.0,0.4365951742627346,1.6489610512541303e-14
LSTM,combined,pr,1.0,0.436653706931224,1.729609938074233e-14
LSTM,combined,pr,1.0,0.43671225529632607,1.750425264533239e-14
LSTM,combined,pr,1.0,0.43677081936435563,1.7714777602174762e-14
