model,source,curve,x,y,threshold
LSTM,enron,pr,1.0,0.4882380433089266,2.607150236144662e-06
LSTM,enron,pr,1.0,0.48831411654721096,2.613657670735847e-06
LSTM,enron,pr,1.0,0.48839021349540285,2.635156988617382e-06
LSTM,enron,pr,1.0,0.4884663341645885,2.821512907758006e-06
LSTM,enron,pr,1.0,0.48854247856586125,2.8345989449007902e-06
LSTM,enron,pr,1.0,0.4886186467103212,2.8821220894315047e-06
LSTM,enron,pr,1.0,0.4886948386090753,2.8926187951583415e-06
LSTM,enron,pr,1.0,0.4887710542732377,2.8930105600011302e-06
LSTM,enron,pr,1.0,0.4888472937139292,2.8951083095307695e-06
LSTM,enron,pr,1.0,0.4889235569422777,2.904061830122373e-06
LSTM,enron,pr,1.0,0.488999843969418,2.9367195111262845e-06
LSTM,enron,pr,1.0,0.48907615480649186,2.9428986181301298e-06
LSTM,enron,pr,1.0,0.48915248946464807,2.943181925729732e-06
LSTM,enron,pr,1.0,0.4892288479550421,2.9470861591107678e-06
LSTM,enron,pr,1.0,0.4893052302888368,2.963910219477839e-06
LSTM,enron,pr,1.0,0.48938163647720173,2.9905941119068302e-06
LSTM,enron,pr,1.0,0.48945806653131346,2.996472403538064e-06
LSTM,enron,pr,1.0,0.4895345204623555,2.9968323360662907e-06
LSTM,enron,pr,1.0,0.4896109982815185,3.011234184668865e-06
LSTM,enron,pr,1.0,0.4896875,3.0118142149149207e-06
LSTM,enron,pr,1.0,0.4897640256290045,3.015967422470567e-06
LSTM,enron,pr,1.0,0.48984057517974366,3.02320995615446e-06
LSTM,enron,pr,1.0,0.489917148663436,3.027029606528231e-06
LSTM,enron,pr,1.0,0.4899937460913071,3.0291578241303796e-06
LSTM,enron,pr,1.0,0.49007036747458954,3.0425248951360118e-06
LSTM,enron,pr,1.0,0.490147012824523,3.048623966606101e-06
LSTM,enron,pr,1.0,0.4902236821523541,3.057137064388371e-06
LSTM,enron,pr,1.0,0.4903003754693367,3.064569227717584e-06
LSTM,enron,pr,1.0,0.49037709278673136,3.0646217510366114e-06
LSTM,enron,pr,1.0,0.49045383411580595,3.0842750220472226e-06
LSTM,enron,pr,1.0,0.49053059946783534,3.0850721941533266e-06
LSTM,enron,pr,1.0,0.49060738885410143,3.094631438216311e-06
LSTM,enron,pr,1.0,0.4906842022858932,3.09556708089076e-06
LSTM,enron,pr,1.0,0.49076103977450675,3.095652800766402e-06
LSTM,enron,pr,1.0,0.4908379013312451,3.0957264698372455e-06
LSTM,enron,pr,1.0,0.4909147869674185,3.099209379797685e-06
LSTM,enron,pr,1.0,0.49099169669434434,3.0992803203844232e-06
LSTM,enron,pr,1.0,0.4910686305233469,3.105611995124491e-06
LSTM,enron,pr,1.0,0.49114558846575773,3.1090287393453764e-06
LSTM,enron,pr,1.0,0.49122257053291535,3.1098115869099274e-06
LSTM,enron,pr,1.0,0.49129957673616553,3.111386831733398e-06
LSTM,enron,pr,1.0,0.4913766070868611,3.11177245748695e-06
LSTM,enron,pr,1.0,0.49145366159636195,3.1169047360890545e-06
LSTM,enron,pr,1.0,0.4915307402760351,3.139625732728746e-06
LSTM,enron,pr,1.0,0.4916078431372549,3.142321702398476e-06
LSTM,enron,pr,1.0,0.49168497019140256,3.151955979774357e-06
LSTM,enron,pr,1.0,0.49176212144986664,3.1543406748824054e-06
LSTM,enron,pr,1.0,0.4918392969240427,3.157055289193522e-06
LSTM,enron,pr,1.0,0.49191649662533354,3.1597085126122693e-06
LSTM,enron,pr,1.0,0.4919937205651491,3.1607783057552297e-06
LSTM,enron,pr,1.0,0.4920709687549066,3.1669910640630405e-06
LSTM,enron,pr,1.0,0.4921482412060301,3.1687161481386283e-06
LSTM,enron,pr,1.0,0.49222553792995133,3.1718936952529475e-06
LSTM,enron,pr,1.0,0.4923028589381087,3.1762403978063958e-06
LSTM,enron,pr,1.0,0.49238020424194817,3.179295390509651e-06
LSTM,enron,pr,1.0,0.4924575738529227,3.1812212455406552e-06
LSTM,enron,pr,1.0,0.49253496778249256,3.189106791978702e-06
LSTM,enron,pr,1.0,0.4926123860421251,3.1929262149787974e-06
LSTM,enron,pr,1.0,0.4926898286432951,3.1955337362887803e-06
LSTM,enron,pr,1.0,0.4927672955974843,3.1984209272195585e-06
LSTM,enron,pr,1.0,0.4928447869161818,3.2040659334597876e-06
LSTM,enron,pr,1.0,0.49292230261088393,3.2093321351567283e-06
LSTM,enron,pr,1.0,0.4929998426930942,3.2123818982654484e-06
LSTM,enron,pr,1.0,0.49307740717432347,3.2203752198256552e-06
LSTM,enron,pr,1.0,0.4931549960660897,3.220682401661179e-06
LSTM,enron,pr,1.0,0.49323260937991814,3.2207376534643117e-06
LSTM,enron,pr,1.0,0.4933102471273414,3.22175765177235e-06
LSTM,enron,pr,1.0,0.49338790931989923,3.2245425245491788e-06
LSTM,enron,pr,1.0,0.4934655959691387,3.2316386295860866e-06
LSTM,enron,pr,1.0,0.49354330708661415,3.231761866118177e-06
LSTM,enron,pr,1.0,0.49362104268388723,3.2332632144971285e-06
LSTM,enron,pr,1.0,0.49369880277252676,3.2401064800069435e-06
LSTM,enron,pr,1.0,0.493776587364109,3.244092113163788e-06
LSTM,enron,pr,1.0,0.49385439647021745,3.2460541206091875e-06
LSTM,enron,pr,1.0,0.49393223010244286,3.250793952247477e-06
