model,source,curve,x,y,threshold
NB,combined,pr,1.0,0.4342666666666667,4.9457829961032686e-82
NB,combined,pr,1.0,0.4343245766102147,1.7329527811097053e-68
NB,combined,pr,1.0,0.43438250200053347,1.9550614135512858e-64
NB,combined,pr,1.0,0.4344404428438042,6.175048423863328e-62
NB,combined,pr,1.0,0.4344983991462113,3.1252303074800745e-60
NB,combined,pr,1.0,0.4345563709139426,5.9843690863531276e-59
NB,combined,pr,1.0,0.4346143581531892,2.257578919813698e-58
NB,combined,pr,1.0,0.4346723608701455,2.426823317867654e-58
NB,combined,pr,1.0,0.4347303790710091,1.0533930494607471e-57
NB,combined,pr,1.0,0.43478841276198105,9.7101222243775e-55
NB,combined,pr,1.0,0.4348464619492657,4.381315469790125e-53
NB,combined,pr,1.0,0.43490452663907064,1.2234777188360111e-52
NB,combined,pr,1.0,0.43496260683760685,1.7146804228862227e-52
NB,combined,pr,1.0,0.43502070255108855,1.9517576069667366e-52
NB,combined,pr,1.0,0.4350788137857334,1.2655828206343585e-51
NB,combined,pr,1.0,0.4351369405477622,2.5837995390622918e-51
NB,combined,pr,1.0,0.43519508284339925,8.323757085329755e-50
NB,combined,pr,1.0,0.4352532406788721,9.238256979849223e-50
NB,combined,pr,1.0,0.43531141406041163,1.0074727196346483e-48
NB,combined,pr,1.0,0.4353696029942521,1.1744313250197499e-48
NB,combined,pr,1.0,0.435427807486631,7.390543164225131e-48
NB,combined,pr,1.0,0.4354860275437893,2.4076087483558885e-47
NB,combined,pr,1.0,0.4355442631719711,1.9957382122126744e-46
NB,combined,pr,1.0,0.4356025143774241,2.212004677502604e-46
NB,combined,pr,1.0,0.43566078116639917,1.0100751741174309e-45
NB,combined,pr,1.0,0.4357190635451505,1.0772327201270833e-45
NB,combined,pr,1.0,0.4357773615199358,6.070360977806407e-45
NB,combined,pr,1.0,0.43583567509701593,8.259740708629395e-45
NB,combined,pr,1.0,0.43589400428265523,8.497532044998961e-45
NB,combined,pr,1.0,0.4359523490831214,2.6928925045138643e-44
NB,combined,pr,1.0,0.4360107095046854,1.3807681694617048e-43
NB,combined,pr,1.0,0.4360690855536216,2.4526302491089365e-43
NB,combined,pr,1.0,0.4361274772362078,3.659711866779063e-43
NB,combined,pr,1.0,0.43618588455872503,7.584712788524863e-43
NB,combined,pr,1.0,0.4362443075274578,1.4779069666639975e-42
NB,combined,pr,1.0,0.4363027461486939,1.5699309934595017e-42
NB,combined,pr,1.0,0.43636120042872456,3.427607916564655e-42
NB,combined,pr,1.0,0.4364196703738443,6.199474590474782e-42
NB,combined,pr,1.0,0.4364781559903511,8.422833650345528e-42
NB,combined,pr,1.0,0.4365366572845463,1.1964250017127354e-41
NB,combined,pr,1.0,0.4365951742627346,2.8470240156636956e-40
NB,combined,pr,1.0,0.436653706931224,4.347944052145636e-40
NB,combined,pr,1.0,0.43671225529632607,8.030342943238217e-40
NB,combined,pr,1.0,0.43677081936435563,9.749804806245379e-40
NB,combined,pr,1.0,0.4368293991416309,1.6324338149694238e-39
NB,combined,pr,1.0,0.43688799463447353,4.368808896171842e-39
NB,combined,pr,1.0,0.43694660584920847,8.818397447987526e-39
NB,combined,pr,1.0,0.43700523279216424,2.3930130454536035e-38
NB,combined,pr,1.0,0.43706387546967257,2.929823052417362e-38
