model,source,curve,x,y,threshold
NB,enron,pr,1.0,0.4882380433089266,1.3038575262880213e-96
NB,enron,pr,1.0,0.48831411654721096,1.6473407283531657e-73
NB,enron,pr,1.0,0.48839021349540285,1.7765593277403787e-72
NB,enron,pr,1.0,0.4884663341645885,4.555655623110305e-72
NB,enron,pr,1.0,0.48854247856586125,2.7990611377269407e-66
NB,enron,pr,1.0,0.4886186467103212,3.7901254113319195e-66
NB,enron,pr,1.0,0.4886948386090753,6.74384966494211e-66
NB,enron,pr,1.0,0.4887710542732377,3.1015107812019655e-63
NB,enron,pr,1.0,0.4888472937139292,5.464955214293371e-63
NB,enron,pr,1.0,0.4889235569422777,3.7218419606902973e-60
NB,enron,pr,1.0,0.488999843969418,7.39549661319484e-58
NB,enron,pr,1.0,0.48907615480649186,8.368047712691788e-57
NB,enron,pr,1.0,0.48915248946464807,1.1989239690996406e-56
NB,enron,pr,1.0,0.4892288479550421,1.2837644837522527e-56
NB,enron,pr,1.0,0.4893052302888368,2.8713797756869926e-56
NB,enron,pr,1.0,0.48938163647720173,1.9126638662703654e-55
NB,enron,pr,1.0,0.48945806653131346,4.5637920427635485e-55
NB,enron,pr,1.0,0.4895345204623555,3.5034203577149053e-53
NB,enron,pr,1.0,0.4896109982815185,6.074394546911903e-53
NB,enron,pr,1.0,0.4896875,2.5786713054532145e-52
NB,enron,pr,1.0,0.4897640256290045,2.8925381345566676e-52
NB,enron,pr,1.0,0.48984057517974366,4.5895978964786416e-52
NB,enron,pr,1.0,0.489917148663436,4.1665194140568936e-51
NB,enron,pr,1.0,0.4899937460913071,6.841008587131443e-51
NB,enron,pr,1.0,0.49007036747458954,1.0289528089613867e-50
NB,enron,pr,1.0,0.490147012824523,1.6355271324697295e-50
NB,enron,pr,1.0,0.4902236821523541,6.269390907037172e-50
NB,enron,pr,1.0,0.4903003754693367,1.0404330541924095e-49
NB,enron,pr,1.0,0.49037709278673136,1.5558228021999594e-49
NB,enron,pr,1.0,0.49045383411580595,1.1300805695103352e-48
NB,enron,pr,1.0,0.49053059946783534,6.796135655582341e-48
NB,enron,pr,1.0,0.49060738885410143,1.8434252333311395e-47
NB,enron,pr,1.0,0.4906842022858932,8.81183815501e-47
NB,enron,pr,1.0,0.49076103977450675,1.1109638757112094e-46
NB,enron,pr,1.0,0.4908379013312451,3.4221710605190873e-46
NB,enron,pr,1.0,0.4909147869674185,4.185089029157897e-46
NB,enron,pr,1.0,0.49099169669434434,2.0088272737288095e-45
NB,enron,pr,1.0,0.4910686305233469,2.0711592845493606e-45
NB,enron,pr,1.0,0.49114558846575773,2.570781727577673e-45
NB,enron,pr,1.0,0.49122257053291535,2.6091803593866505e-45
NB,enron,pr,1.0,0.49129957673616553,5.4081138782273146e-45
NB,enron,pr,1.0,0.4913766070868611,5.5087827586650546e-45
NB,enron,pr,1.0,0.49145366159636195,8.830833210030284e-45
NB,enron,pr,1.0,0.4915307402760351,1.5887170125106639e-43
NB,enron,pr,1.0,0.4916078431372549,1.3092228427800842e-42
NB,enron,pr,1.0,0.49168497019140256,3.2875187059587767e-42
NB,enron,pr,1.0,0.49176212144986664,3.754330038601782e-42
NB,enron,pr,1.0,0.4918392969240427,8.68111236099819e-42
NB,enron,pr,1.0,0.49191649662533354,1.3277133425900978e-41
NB,enron,pr,1.0,0.4919937205651491,1.4028568947509115e-41
NB,enron,pr,1.0,0.4920709687549066,2.2546284961849336e-41
NB,enron,pr,1.0,0.4921482412060301,2.6472439123692846e-41
NB,enron,pr,1.0,0.49222553792995133,5.027086577783592e-41
NB,enron,pr,1.0,0.4923028589381087,6.635426109459217e-41
NB,enron,pr,1.0,0.49238020424194817,8.545140898674874e-41
NB,enron,pr,1.0,0.4924575738529227,1.5210516103600338e-40
NB,enron,pr,1.0,0.49253496778249256,3.740970777571441e-40
NB,enron,pr,1.0,0.4926123860421251,5.099041331349163e-40
NB,enron,pr,1.0,0.4926898286432951,2.4849849076455735e-39
NB,enron,pr,1.0,0.4927672955974843,2.6735988370099038e-39
NB,enron,pr,1.0,0.4928447869161818,4.2032284071673914e-39
NB,enron,pr,1.0,0.49292230261088393,7.328313382956927e-39
NB,enron,pr,1.0,0.4929998426930942,9.444554205020657e-39
NB,enron,pr,1.0,0.49307740717432347,9.83610850243776e-39
NB,enron,pr,1.0,0.4931549960660897,1.196855786286477e-38
NB,enron,pr,1.0,0.49323260937991814,1.6969796215097912e-38
NB,enron,pr,1.0,0.4933102471273414,5.729664339423521e-38
NB,enron,pr,1.0,0.49338790931989923,8.312864908421232e-38
NB,enron,pr,1.0,0.4934655959691387,9.209013700561682e-38
NB,enron,pr,1.0,0.49354330708661415,1.321891905060757e-37
NB,enron,pr,1.0,0.49362104268388723,1.4751992730155221e-37
NB,enron,pr,1.0,0.49369880277252676,1.8572645703041734e-37
NB,enron,pr,1.0,0.49385439647021745,1.937978690212774e-37
NB,enron,pr,1.0,0.49393223010244286,2.6799975925757636e-37
NB,enron,pr,1.0,0.49401008827238335,3.2932140288022442e-37
NB,enron,pr,1.0,0.4940879709916443,3.7289440912857814e-37
NB,enron,pr,1.0,0.49416587827183855,7.2272979633352204e-37
NB,enron,pr,1.0,0.494243810124586,7.905601624593069e-37
NB,enron,pr,1.0,0.4943217665615142,1.0718031762750532e-36
NB,enron,pr,1.0,0.49439974759425775,2.9500887379039348e-36
NB,enron,pr,1.0,0.4944777532344588,3.153966336188159e-36
NB,enron,pr,1.0,0.4945557834937668,3.170421522412864e-36
NB,enron,pr,1.0,0.4946338383838384,4.495971890483256e-36
NB,enron,pr,1.0,0.4947119179163378,5.1768504698345656e-36
