model,source,curve,x,y,threshold
SVC,combined,pr,1.0,0.4342666666666667,1.2232318729898766e-09
SVC,combined,pr,1.0,0.4343245766102147,2.9538520526947145e-09
SVC,combined,pr,1.0,0.43438250200053347,7.053411271726339e-09
SVC,combined,pr,1.0,0.4344404428438042,1.6856241969095255e-07
SVC,combined,pr,1.0,0.4344983991462113,1.8356672823481846e-07
SVC,combined,pr,1.0,0.4345563709139426,2.4093821276364604e-06
SVC,combined,pr,1.0,0.4346143581531892,2.6604856138594204e-06
SVC,combined,pr,1.0,0.4346723608701455,3.0709022924920782e-06
SVC,combined,pr,1.0,0.4347303790710091,3.8541388850150564e-06
SVC,combined,pr,1.0,0.4348464619492657,4.0832009242139695e-06
SVC,combined,pr,1.0,0.43490452663907064,4.247567233595151e-06
SVC,combined,pr,1.0,0.43496260683760685,4.5039998717392044e-06
SVC,combined,pr,1.0,0.43502070255108855,6.591518579172018e-06
SVC,combined,pr,1.0,0.4350788137857334,6.8594741049868105e-06
SVC,combined,pr,1.0,0.4351369405477622,7.622761568399878e-06
SVC,combined,pr,1.0,0.43519508284339925,8.695603760029214e-06
SVC,combined,pr,1.0,0.4352532406788721,1.0321070598515345e-05
SVC,combined,pr,1.0,0.43531141406041163,1.033598940305588e-05
SVC,combined,pr,1.0,0.4353696029942521,1.05555170864078e-05
SVC,combined,pr,1.0,0.435427807486631,1.8938622229684123e-05
SVC,combined,pr,1.0,0.4354860275437893,2.3200499678454597e-05
SVC,combined,pr,1.0,0.4355442631719711,2.3900620235363206e-05
SVC,combined,pr,1.0,0.4356025143774241,2.5832754127662436e-05
SVC,combined,pr,1.0,0.43566078116639917,3.361901145619821e-05
SVC,combined,pr,1.0,0.4357190635451505,3.716209476054178e-05
SVC,combined,pr,1.0,0.4357773615199358,3.863506169290619e-05
SVC,combined,pr,1.0,0.43583567509701593,3.9071279144702944e-05
SVC,combined,pr,1.0,0.43589400428265523,4.114829988165132e-05
SVC,combined,pr,1.0,0.4359523490831214,4.590893939288793e-05
SVC,combined,pr,1.0,0.4360107095046854,4.725150959755328e-05
