model,source,curve,x,y,threshold
SVC,enron,pr,1.0,0.4882380433089266,4.5965705008241316e-11
SVC,enron,pr,1.0,0.48831411654721096,1.0689683009225235e-05
SVC,enron,pr,1.0,0.48839021349540285,6.905982929575741e-05
SVC,enron,pr,1.0,0.4884663341645885,0.00010653463052774034
SVC,enron,pr,1.0,0.48854247856586125,0.0001189813550700188
SVC,enron,pr,1.0,0.4886186467103212,0.00012569523337443566
SVC,enron,pr,1.0,0.4886948386090753,0.00012810711510593146
SVC,enron,pr,1.0,0.4887710542732377,0.00014820639616845962
SVC,enron,pr,1.0,0.4888472937139292,0.00016396357888182297
SVC,enron,pr,1.0,0.4889235569422777,0.00016605430988875336
SVC,enron,pr,1.0,0.488999843969418,0.00019765472587290913
SVC,enron,pr,1.0,0.48907615480649186,0.0002068248577368365
SVC,enron,pr,1.0,0.48915248946464807,0.00046740546225935764
SVC,enron,pr,1.0,0.4892288479550421,0.0006082133073053267
SVC,enron,pr,1.0,0.4893052302888368,0.0009897120614744666
SVC,enron,pr,1.0,0.48938163647720173,0.0012158235835403436
SVC,enron,pr,1.0,0.48945806653131346,0.0012277573390643446
SVC,enron,pr,1.0,0.4895345204623555,0.001231950666079393
SVC,enron,pr,1.0,0.4896109982815185,0.0014167811171855854
SVC,enron,pr,1.0,0.4896875,0.0018521542560357856
SVC,enron,pr,1.0,0.4897640256290045,0.001964891857443168
SVC,enron,pr,1.0,0.48984057517974366,0.0021006740456992598
SVC,enron,pr,1.0,0.489917148663436,0.0027397020074479126
SVC,enron,pr,1.0,0.4899937460913071,0.002813618496703042
SVC,enron,pr,1.0,0.49007036747458954,0.002920992961806627
SVC,enron,pr,1.0,0.490147012824523,0.0033834004152298995
SVC,enron,pr,1.0,0.4902236821523541,0.0034153462330285323
SVC,enron,pr,1.0,0.4903003754693367,0.0034337222340621357
SVC,enron,pr,1.0,0.49037709278673136,0.0035734249949123963
SVC,enron,pr,1.0,0.49045383411580595,0.0036943706165262244
SVC,enron,pr,1.0,0.49053059946783534,0.003846509875209403
SVC,enron,pr,1.0,0.49060738885410143,0.003854420822287198
SVC,enron,pr,1.0,0.4906842022858932,0.0040577313139835815
SVC,enron,pr,1.0,0.49076103977450675,0.0042331286831053215
SVC,enron,pr,1.0,0.4908379013312451,0.004328534034447852
