dataset,model,pr_auc,roc_auc,f1,f_beta,precision,recall,threshold,tn,fp,fn,tp
sms,NB,0.9285475666510424,0.9575589388461735,0.9008264462809917,0.8919803600654664,0.9159663865546218,0.8861788617886179,0.5020260071563398,948,10,14,109
sms,SVC,0.9753698503342226,0.9896040192134697,0.9317269076305221,0.9385113268608414,0.9206349206349206,0.943089430894309,0.13999048669966155,948,10,7,116
sms,LR,0.9752000499026579,0.9881103925861807,0.9354838709677419,0.940032414910859,0.928,0.943089430894309,0.5103582327069864,949,9,7,116
enron,NB,0.9993622448979592,0.9996955859969558,0.9996810207336523,0.9998723838693211,0.9993622448979592,1.0,1.0,3283,2,0,3134
enron,SVC,0.9981143608914318,0.9985227081773138,0.9942893401015228,0.99770788233796,0.9886435331230284,1.0,0.5482571840510707,3249,36,0,3134
enron,LR,1.0,1.0,1.0,1.0,1.0,1.0,0.9902379732188126,3285,0,0,3134
combined,NB,0.9965632400368111,0.9975047489223703,0.9663966396639664,0.9798016669708585,0.9448518627163391,0.9889468836352472,0.04580289089440629,4055,188,36,3221
combined,SVC,0.9987362568836435,0.9988942397205214,0.9913149474325765,0.995775682625199,0.9839685420447671,0.9987718759594719,0.4884293280024988,4190,53,4,3253
combined,LR,0.9998502227761803,0.9998523819795736,0.9973930378776261,0.9980358458138964,0.9963235294117647,0.9984648449493398,0.17590602071495293,4231,12,5,3252
sms,LSTM,0.9595264357821105,0.9724273129996435,0.9590163934426229,0.9543230016313213,0.9669421487603306,0.9512195121951219,0.7551289796829224,954,4,6,117
enron,LSTM,1.0,1.0,1.0,1.0,1.0,1.0,0.9992178678512573,3285,0,0,3134
combined,LSTM,0.9996616289695252,0.999673937843117,0.9969296898986798,0.9969296898986798,0.9969296898986798,0.9969296898986798,0.42502519488334656,4233,10,10,3247
