feature,mean_abs_shap,mean_signed_shap,direction
word_count,1.0118539863593616,0.28292402883638573,spam→
char_count,0.8202952806211075,-0.2895293840273032,→ham
entropy_text,0.12087648851516898,-0.015283428907916712,→ham
has_currency,0.10652694165595707,-0.028066231700925412,→ham
has_reply_marker,0.06191002125406242,-0.005543519095098703,→ham
punctuation_ratio,0.04566181492874928,-0.0037307988472379443,→ham
num,0.030029508238454475,-0.0013159099309885498,→ham
num num,0.027889536304641426,-0.000533097598047026,→ham
avg_word_len,0.024872112270540984,-0.002239311344676446,→ham
has_signature_block,0.023923062349025324,0.006213782428318298,spam→
has_shortcode,0.02297029449822775,-0.00031260607645927787,→ham
ratio_stopwords,0.022258118511918078,-0.0013221187480118993,→ham
type,0.018549254345668127,0.0014611567773530102,spam→
ivanhoe,0.018090325495784397,-0.0003813306386126529,→ham
txt,0.017798806558321938,0.0014264656533096456,spam→
call,0.016771095898321577,-0.0005784382810680663,→ham
cost,0.01601689032318307,0.003977310871358695,spam→
trans,0.01526627742947688,0.001347987766939228,spam→
num_digits,0.013826816443075353,-0.0036415010956639482,→ham
id,0.012449790202240747,0.001244623588229909,spam→
schedule,0.011847330332660307,0.0006683252965083046,spam→
point,0.010585498043421208,0.002657913780571454,spam→
fred,0.010546281481921504,-0.00022230778840475415,→ham
call num,0.010217973347410828,-0.005267489011424434,→ham
jordan,0.010142374825181268,-0.00011813470838291211,→ham
subject ivanhoe,0.009187672866219809,-0.00019366932685960697,→ham
transfers,0.007695683548057282,0.0033223123637610265,spam→
user,0.007539273722605643,0.0010503020507889758,spam→
enron,0.007175992463503092,0.00013919519710539746,spam→
hour,0.006607258980080792,-0.00013934925966675417,→ham
