feature,mean_abs_shap,mean_signed_shap,direction
word_count,1.2581092371223621,0.3148776220488189,spam→
char_count,1.0895637619849163,-0.28094670357306184,→ham
has_shortcode,0.16335833499335078,-0.009739169415342903,→ham
num_digits,0.15098151709174784,-0.05014585402169061,→ham
has_reply_marker,0.06184121822561975,0.009101945491575667,spam→
entropy_text,0.05262295161071925,-0.006136420006294665,→ham
has_currency,0.04435420631294695,0.015443665150747587,spam→
avg_word_len,0.020681778492738664,0.0008635460032793219,spam→
ratio_stopwords,0.018671071381077077,-0.0028318163229509846,→ham
type,0.015793148479285552,-0.002692615050736647,→ham
schedule,0.013918972627460901,-0.0013280273289899406,→ham
final,0.011753355610170773,-0.001650234191150995,→ham
trans,0.011023970005425128,-0.0016220962099815406,→ham
date num,0.010968420231782496,-0.0015010894272821707,→ham
transfers,0.010717317071189454,-0.0016762969363876459,→ham
cost,0.010529108342230037,-0.00045239667782462253,→ham
has_signature_block,0.010468641413575248,0.0035607623855698324,spam→
id,0.010373280155400908,-0.0012538748839149452,→ham
point,0.010029206767469817,-0.0020850596350550817,→ham
ivanhoe,0.009589392285817117,0.002121546965888733,spam→
date,0.008794128365649833,-0.0011309654262127097,→ham
transfers ees,0.007094284190367416,-0.0011296630876381168,→ham
cost center,0.007053357222998197,-0.0010955115839818396,→ham
hourahead,0.006881416017754428,-0.0007528109959725521,→ham
num hourahead,0.006832596972689866,-0.0008016300481148174,→ham
hourahead hour,0.006749140263709671,-0.0008850867691947678,→ham
start date,0.006685265384280365,-0.0008767101747756536,→ham
hour num,0.006649766920497462,-0.0008720548824875564,→ham
center,0.006608587440739767,-0.000810343011811143,→ham
anyone,0.006504388632839483,-0.001156832615768501,→ham
