feature,mean_abs_shap,mean_signed_shap,direction
num,0.030029508238454475,-0.0013159099309885498,→ham
num num,0.027889536304641426,-0.000533097598047026,→ham
type,0.018549254345668127,0.0014611567773530102,spam→
ivanhoe,0.018090325495784397,-0.0003813306386126529,→ham
txt,0.017798806558321938,0.0014264656533096456,spam→
call,0.016771095898321577,-0.0005784382810680663,→ham
cost,0.01601689032318307,0.003977310871358695,spam→
trans,0.01526627742947688,0.001347987766939228,spam→
id,0.012449790202240747,0.001244623588229909,spam→
schedule,0.011847330332660307,0.0006683252965083046,spam→
point,0.010585498043421208,0.002657913780571454,spam→
fred,0.010546281481921504,-0.00022230778840475415,→ham
call num,0.010217973347410828,-0.005267489011424434,→ham
jordan,0.010142374825181268,-0.00011813470838291211,→ham
subject ivanhoe,0.009187672866219809,-0.00019366932685960697,→ham
