feature,mean_abs_shap,mean_signed_shap,direction
type,0.015793148479285552,-0.002692615050736647,→ham
schedule,0.013918972627460901,-0.0013280273289899406,→ham
final,0.011753355610170773,-0.001650234191150995,→ham
trans,0.011023970005425128,-0.0016220962099815406,→ham
date num,0.010968420231782496,-0.0015010894272821707,→ham
transfers,0.010717317071189454,-0.0016762969363876459,→ham
cost,0.010529108342230037,-0.00045239667782462253,→ham
id,0.010373280155400908,-0.0012538748839149452,→ham
point,0.010029206767469817,-0.0020850596350550817,→ham
ivanhoe,0.009589392285817117,0.002121546965888733,spam→
date,0.008794128365649833,-0.0011309654262127097,→ham
transfers ees,0.007094284190367416,-0.0011296630876381168,→ham
cost center,0.007053357222998197,-0.0010955115839818396,→ham
hourahead,0.006881416017754428,-0.0007528109959725521,→ham
num hourahead,0.006832596972689866,-0.0008016300481148174,→ham
