feature,mean_abs_shap,mean_signed_shap,direction
text,0.012748074731419217,0.0006839132386550367,spam→
lt,0.008282571250713988,-0.0011596309094848802,→ham
gt,0.007611765170705873,-0.0008094979401681238,→ham
ok,0.0073499878980699054,0.00072332572935304,spam→
num num,0.006945658861612958,0.0008653317537000211,spam→
lt gt,0.006782465060638558,-0.0005506865947653916,→ham
free,0.006772737041816687,0.003736842088987494,spam→
mobil,0.006649173117567305,-0.0005031869182889454,→ham
sm,0.005583394443134482,0.0011041648062653996,spam→
num,0.005505729943406567,0.0012992335978902355,spam→
da,0.005353476327900626,-0.002466328491231633,→ham
come,0.004397182115566042,0.0022755652944786947,spam→
repli,0.004249157341032854,0.004249157341032854,spam→
enjoy,0.004046350848489062,-0.0006191878856418861,→ham
good,0.0036171861171378854,0.0021835808348835955,spam→
